OBJECTID,RoadName,RoadID,SectionID,RoadIDSect,LocationBe,LocationEn,PMBeg,PMEnd,SurfaceTyp,Lanes,Length,Width,Area,PCI_Inspec,PCI_Insp_1,PCI_Curren,Functional,Quadrant,Supervisor,RoadYard,Constructi,Construc_1
221,BENNETT VIEW DR,77028,1000,77028 - 1000,MT TAYLOR DR,SCHOOL,10,10.36,A,2,1901,20,38020,29,2015/05/27,25,7 - Local,SE,1st District,COT,1968/01/01,1968/01/01,
567,CRANE CANYON RD,6702A,1053,6702A - 1053,INVERNESS AVE,3547&apos; W/O INVERNESS,10.53,11.2,A,2,3547,31,109957,77,2015/05/11,74,5 - Major Collector,SE,1st District,COT,1974/01/01,1974/01/01,
681,EAST BONNESS RD,56002,1000,56002 - 1000,BONNESS RD,HWY 116,10,10.58,A,2,3062,17,52054,14,2015/05/11,10,7 - Local,SE,1st District,SON,1972/01/01,1972/01/01,
628,DENMARK ST,55032,1090,55032 - 1090,EIGHTH ST EAST,NAPA RD,10.9,11.97,A,2,5650,19,107350,19,2015/04/07,11,6 - Minor Collector,SE,1st District,SON,1977/01/01,1977/01/01,
423,CARRIGER RD,56026,1011,56026 - 1011,SOLANO AVE,CRAIG AVE,10.11,10.87,A,2,4013,18,72234,35,2015/05/14,32,7 - Local,SE,1st District,SON,1976/12/14,1976/12/14,
513,CLYDE AVE,76016,3006,76016 - 3006,RANDOLPH AVE,SHAW AVE,30.06,30.13,A,2,370,26,9620,51,2015/04/17,48,7 - Local,SE,1st District,SON,1990/01/01,1990/01/01,
1186,JOHNSON AVE,66021,1000,66021 - 1000,LICHTENBERG AVE,END,10,10.11,A,2,581,33,19173,4,2015/05/22,0,7 - Local,SE,1st District,SON,1967/01/01,1967/01/01,
376,CALLE DEL ARROYO,56124,1000,56124 - 1000,CENTRAL AVE,LOS ROBLES DR,10,10.24,A,2,1267,18,22806,38,2015/05/27,35,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
108,ARNOLD DR,5603,1455,5603 - 1455,COUNTRY CLUB DR,AGUA CALIENTE RD,14.55,15.01,O,2,2429,27,65583,85,2015/02/23,82,4 - Minor Arterial,SE,1st District,SON,2012/07/02,1971/09/19,
946,GOODWIN AVE,57043,1000,57043 - 1000,OLD REDWOOD HWY,PALM AVE,10,10.85,A,2,4488,23,103224,31,2015/04/26,27,7 - Local,SE,2nd District,COT,1983/01/01,1983/01/01,
1005,GROVE ST,56023,1405,56023 - 1405,LINDEN ST,RIVERSIDE DR,14.05,14.24,A,2,1003,29,29087,50,2015/05/11,47,7 - Local,SE,1st District,SON,1992/10/01,1979/06/09,
15,ADOBE RD,5602,1219,5602 - 1219,CORONA RD / HARDIN LN,LYNCH RD,12.19,13.01,O,2,4330,28,121240,86,2015/04/15,84,5 - Major Collector,SE,2nd District,COT,2010/03/16,1976/08/15,
744,ESTRELLA DR,66090,1000,66090 - 1000,LAS FLORES DR,END,10,10.33,A,2,1742,36,62712,34,2015/05/29,31,7 - Local,SE,1st District,SON,1971/01/01,1971/01/01,
302,BONNIE WAY,66074,1000,66074 - 1000,DUNBAR DR,SYLVIA DR,10,10.4,A,2,2112,22,46464,47,2015/04/17,44,7 - Local,SE,1st District,SON,1961/01/01,1961/01/01,
565,CRAIG AVE,56024,1049,56024 - 1049,ARNOLD DR,RIVERSIDE DR,10.49,10.95,A,2,2429,26,63154,47,2015/05/29,44,7 - Local,SE,1st District,SON,1988/01/01,1988/01/01,
432,CASTLE RD,55044,1000,55044 - 1000,SEVENTH ST EAST,NORTH CASTLE RD,10,10.4,A,2,2112,20,42240,29,2015/05/28,26,7 - Local,SE,1st District,SON,1975/01/01,1975/01/01,
456,CENTER ST,56038,2000,56038 - 2000,ARNOLD DR,BAY ST,20,20.26,A,2,1373,18,24714,11,2015/05/27,7,7 - Local,SE,1st District,SON,1982/01/01,1982/01/01,
1141,HYDE RD,55013,1024,55013 - 1024,HYDE RD,HYDE-BURNDALE RD,10.24,11,A,2,4013,17,68221,6,2015/05/18,1,7 - Local,SE,1st District,SON,1970/01/01,1970/01/01,
200,BEAR FLAG RD,56191,1000,56191 - 1000,WATMAUGH RD,END,10,10.37,A,2,1954,35,68390,35,2015/05/28,32,7 - Local,SE,1st District,SON,1972/01/01,1972/01/01,
160,BAINES AVE,56068,1000,56068 - 1000,FIRST AVE,VALLEJO AVE,10,10.13,A,2,686,24,16464,25,2015/05/27,21,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
632,DON TIMOTEO CT,66083,1000,66083 - 1000,ARNOLD DR,END,10,10.08,A,2,422,32,13504,23,2015/05/29,19,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
180,BARRETT AVE,56113,1000,56113 - 1000,CRAIG AVE,CHERRY AVE,10,10.21,A,2,1109,20,22180,6,2015/05/27,1,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
462,CENTRAL AVE,56073,1046,56073 - 1046,HIGHLANDS BLVD,HWY 12,10.46,10.53,A,2,370,16,5920,43,2015/05/29,40,7 - Local,SE,1st District,SON,1962/01/01,1962/01/01,
1168,JAMI LEE LN,56205,1000,56205 - 1000,PARK TREE LANE,PARK TREE LANE,10,10.24,A,2,1267,36,45612,49,2015/05/29,46,7 - Local,SE,1st District,SON,1979/01/01,1979/01/01,
339,BUCKS RD,68144,2000,68144 - 2000,SANTA ROSA AVE,BROOKS AVE,20,20.25,A,2,1320,23,30360,14,2015/04/26,9,7 - Local,SE,3rd District,COT,1979/01/01,1979/01/01,
117,ARNOLD DR,5603,1839,5603 - 1839,END BRIDGE,GIBSON ST,18.39,18.83,O,2,2323,26,60398,39,2015/02/23,34,5 - Major Collector,SE,1st District,SON,2014/11/30,1992/01/01,
858,FREY RD,76024,1000,76024 - 1000,END AC,HWY 12,10,10.31,A,2,1637,11,18007,32,2015/05/11,28,7 - Local,SE,1st District,SON,1973/01/01,1973/01/01,
1003,GROVE ST,56023,1350,56023 - 1350,ORANGE AVE,ARNOLD DR,13.5,13.87,A,2,1954,32,62528,63,2015/06/16,61,7 - Local,SE,1st District,SON,1992/07/01,1992/06/30,
79,APPLE VALLEY RD,55061,1000,55061 - 1000,LOVALL VALLEY RD,LOVALL VALLEY RD,10,10.21,A,2,1109,22,24398,20,2015/06/16,16,7 - Local,SE,1st District,SON,1975/01/01,1975/01/01,
721,EL PORTOLA CT,66094,1000,66094 - 1000,END,ESTRELLA DR,10,10.02,A,2,106,64,6784,38,2015/05/29,35,7 - Local,SE,1st District,SON,1971/01/01,1971/01/01,
298,BONITA WAY,56081,1000,56081 - 1000,VALLEJO AVE,CENTRAL AVE,10,10.07,A,2,370,11,4070,71,2015/05/27,69,7 - Local,SE,1st District,SON,1985/12/11,1985/12/11,
592,CYPRESS RD,56019,1000,56019 - 1000,END,PETALUMA AVE,10,10.18,A,2,950,32,30400,36,2015/04/26,33,7 - Local,SE,1st District,SON,1997/01/01,1997/01/01,
355,BURNDALE RD,55004,1233,55004 - 1233,PM 12.33,NAPA RD,12.33,12.85,A,2,2746,29,79634,70,2015/05/11,68,7 - Local,SE,1st District,SON,1971/01/01,1971/01/01,
429,CASA VERDE CT,66100,1000,66100 - 1000,LA GRAMA,END,10,10.02,A,2,106,60,6360,57,2015/05/27,55,7 - Local,SE,1st District,SON,1981/01/01,1981/01/01,
437,CAVEDALE RD,66032,1000,66032 - 1000,HWY 12,PM 11.15,10,11.15,A,2,6072,12,72864,19,2015/03/30,14,7 - Local,SE,1st District,SON,1978/01/01,1978/01/01,
1124,HORN AVE,66051,2000,66051 - 2000,ARNOLD DR,END,20,20.13,A,2,686,22,15092,19,2015/06/01,15,7 - Local,SE,1st District,SON,1970/05/30,1970/05/30,
102,ARNOLD DR,5603,1184,5603 - 1184,SPERRING RD,BEGIN CARRIGER CRK BRIDGE,11.84,12.41,A,2,3119,40,124760,83,2015/02/23,80,4 - Minor Arterial,SE,1st District,SON,1975/01/01,1975/01/01,
784,FIFTH ST EAST,55024,1000,55024 - 1000,E. WATMAUGH RD,PERU RD,10,10.22,A,2,1162,19,22078,32,2015/04/07,25,5 - Major Collector,SE,1st District,SON,1975/01/01,1975/01/01,
1038,HARDIN LN,57038,1086,57038 - 1086,CATTLE GUARD (PM 10.86),CATTLE GUARD (PM 11.43),10.86,11.43,A,2,3010,17,51170,8,2015/03/30,3,7 - Local,SE,2nd District,COT,1969/01/01,1969/01/01,
6,ACADEMY LN,56060A,1000,56060A - 1000,END,MANZANITA RD,10,10.15,A,2,792,19,15048,35,2015/05/27,32,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
694,EAST ST,57057,2000,57057 - 2000,OAK ST,GROVE ST,20,20.1,A,2,528,30,15840,47,2015/04/26,44,7 - Local,SE,2nd District,COT,1988/01/01,1988/01/01,
697,EAST WATMAUGH RD,55021,1219,55021 - 1219,HWY 12,SILVA RD,12.19,12.96,A,2,4066,17,69122,46,2015/02/11,40,5 - Major Collector,SE,1st District,SON,1963/01/01,1963/01/01,
955,GRANGE RD,6702B,1177,6702B - 1177,CRANE CANYON RD,GUENZA RD / PERRACA RD,11.77,12.32,A,2,2904,31,90024,78,2015/06/16,75,5 - Major Collector,SE,1st District,COT,1970/01/01,1970/01/01,
1042,HARLEY ST,56054,1000,56054 - 1000,HWY 12,LOMITA AVE,10,10.14,A,2,739,26,19214,3,2015/05/22,0,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
24,AGUA CALIENTE RD,6601,1000,6601 - 1000,ARNOLD DR,SONOMA HWY RTE 12,10,10.84,A,2,4435,40,177400,92,2015/04/07,88,4 - Minor Arterial,SE,1st District,SON,1997/01/01,1997/01/01,
795,FIRST AVE,56087,1000,56087 - 1000,THOMSON AVE,CALLE DEL MONTE,10,10.18,A,2,950,22,20900,38,2015/05/22,35,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
338,BUCKEYE RD,76025,1000,76025 - 1000,END,LAWNDALE RD,10,10.22,A,2,1162,12,13944,23,2015/05/11,19,7 - Local,SE,1st District,SON,1991/01/01,1991/01/01,
552,COTTONWOOD AVE,56119,1000,56119 - 1000,CRAIG AVE,CHERRY AVE,10,10.23,A,2,1214,15,18210,5,2015/05/29,0,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
348,BURBANK DR,66041,1000,66041 - 1000,END,END,10,10.16,A,2,845,27,22815,32,2015/05/27,29,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
166,BANNON LN,57053,1000,57053 - 1000,END,ADOBE RD,10,10.21,A,2,1109,10,11090,33,2015/04/26,29,7 - Local,SE,2nd District,COT,1988/01/01,1988/01/01,
410,CARMEL AVE,66050,1000,66050 - 1000,END,ARNOLD DR,10,10.24,A,2,1267,19,24073,59,2015/04/17,56,7 - Local,SE,1st District,SON,1969/08/02,1969/08/02,
201,BEATRICE DR,56236,1000,56236 - 1000,DONALD ST,END,10,10.06,A,2,317,32,10144,67,2015/05/27,65,7 - Local,SE,1st District,SON,1988/01/01,1988/01/01,
956,GRANGE RD,6702B,1232,6702B - 1232,GUENZA RD / PERACCA RD,BENNETT VALLEY RD,12.32,13.64,A,2,6970,31,216070,67,2015/05/11,63,5 - Major Collector,SE,1st District,COT,1989/04/11,1989/04/10,
1116,HOLLY ST,67011,1000,67011 - 1000,BIRCH DR,PONDEROSA DR,10,10.12,A,2,634,23,14582,32,2015/05/18,28,7 - Local,SE,1st District,SON,1961/01/01,1961/01/01,
10,ADOBE RD,5602,1000,5602 - 1000,OLD REWOOD HWY N,RR CROSSING,10.02,10.17,O,2,792,38,30096,90,2015/04/15,88,5 - Major Collector,SE,2nd District,COT,2011/10/25,1977/02/21,
776,FETTERS AVE,66005,1000,66005 - 1000,HWY 12,MIDDLEFIELD RD,10,10.13,A,2,686,17,11662,40,2015/05/29,37,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
1058,HAWTHORNE AVE,56066,1000,56066 - 1000,HWY 12,FIRST AVE,10,10.06,A,2,317,20,6340,14,2015/05/22,10,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
327,BROOKS AVE,68080,1000,68080 - 1000,BUCKS RD,EAST ROBLES AVE,10,10.46,A,2,2429,20,48580,10,2015/04/26,5,7 - Local,SE,3rd District,COT,1972/01/01,1972/01/01,
588,CYPRESS AVE,58040,1000,58040 - 1000,WEST RAILROAD AV,POPLAR AVE,10,10.586,A,2,3094,21,64974,23,2015/06/10,16,5 - Major Collector,SE,2nd District,COT,1982/01/01,1982/01/01,
626,DENMAN RD,57041,1040,57041 - 1040,END NEW CHIP SEAL,OLD REDWOOD HWY,10.4,10.79,A,2,2059,19,39121,29,2015/04/26,25,7 - Local,SE,2nd District,COT,1988/12/30,1988/12/30,
688,EAST RAILROAD AVE,58033A,1220,58033A - 1220,R.R. CROSSING,PETALUMA HILL RD,12.2,12.99,A,2,4171,32,133472,71,2015/05/11,68,5 - Major Collector,SE,2nd District,COT,1974/01/01,1974/01/01,
478,CHAUVET RD,66044,1005,66044 - 1005,WILLIAMS RD,LONDON RANCH RD,10.05,10.37,A,2,1690,11,18590,33,2015/04/17,29,7 - Local,SE,1st District,SON,1972/08/28,1972/08/28,
381,CALLE MERLOT,56231,1000,56231 - 1000,END,AVENIDA BARBERA,10,10.04,A,2,211,32,6752,33,2015/05/28,30,7 - Local,SE,1st District,SON,1982/01/01,1982/01/01,
110,ARNOLD DR,5603,1576,5603 - 1576,SOBRE VISTA RD,MADRONE RD,15.76,16.4,O,2,3379,28,94612,75,2015/02/23,73,5 - Major Collector,SE,1st District,SON,2013/06/03,1987/08/31,
838,FRANQUELIN PL,56232A,1000,56232A - 1000,SOUTHWEST END,END,10,10.1,A,2,422,37,15614,23,2015/05/22,19,7 - Local,SE,1st District,SON,1982/01/01,1982/01/01,
1103,HILLCREST AVE,66014,1000,66014 - 1000,MOUNTAIN AVE,CHESTNUT AVE,10,10.26,A,2,1373,15,20595,32,2015/05/29,29,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
332,BROOKVIEW DR,66069,1000,66069 - 1000,END,MAPLEWOOD DR,10,10.1,A,2,528,36,19008,3,2015/05/27,0,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
438,CAVEDALE RD,66032,1115,66032 - 1115,PM 11.15,PM 12.38,11.15,12.38,A,2,6494,11,71434,15,2015/03/30,10,7 - Local,SE,1st District,SON,1978/01/01,1978/01/01,
112,ARNOLD DR,5603,1683,5603 - 1683,MARTIN ST,BEGIN BRIDGE / SONOMA CREEK,16.83,17.38,A,2,2870,46,132020,69,2015/02/23,37,5 - Major Collector,SE,1st District,SON,1986/01/01,1986/01/01,
839,FRANQUELIN PL,56232B,1000,56232B - 1000,FRANQUELIN PLACE,PETALUMA AVE,10,10.05,A,2,264,32,8448,28,2015/05/22,24,7 - Local,SE,1st District,SON,1982/01/01,1982/01/01,
1004,GROVE ST,56023,1387,56023 - 1387,ARNOLD DR,LINDEN ST.,13.87,14.05,A,2,950,32,30400,52,2015/05/11,49,7 - Local,SE,1st District,SON,1992/10/01,1992/09/30,
36,ALBERCA RD,56125,1000,56125 - 1000,LOS ROBLES DR,CALLE DEL ARROYO,10,10.13,A,2,686,20,13720,55,2015/05/27,52,7 - Local,SE,1st District,SON,1963/01/01,1963/01/01,
747,EUCALYPTUS AVE,68001,1022,68001 - 1022,COTATI CITY LIMIT,WILLOW AVE,10.22,10.62,A,2,2112,24,50688,43,2015/04/26,14,5 - Major Collector,SE,2nd District,COT,1973/01/01,1973/01/01,
310,BOYES BLVD,56105,1000,56105 - 1000,BOYES BLVD,HWY 12,10,10.05,A,2,190,32,6080,4,2015/06/10,0,7 - Local,SE,1st District,SON,1997/01/01,1997/01/01,
554,COUNTRY CLUB CT,56247,1000,56247 - 1000,END,RAILROAD AVE,10,10.06,A,2,317,32,10144,49,2015/05/29,46,7 - Local,SE,1st District,SON,1996/12/31,1996/12/31,
714,EIGHTH ST EAST,5502,1256,5502 - 1256,MACARTHUR ST,E. NAPA ST,12.56,13.06,A,2,2640,24,63360,81,2015/04/07,78,4 - Minor Arterial,SE,1st District,SON,1983/01/01,1983/01/01,
662,DUNBAR RD,66056,1000,66056 - 1000,ARNOLD DR,END CHIP SEAL,10,10.51,A,2,450,22,9900,24,2015/04/17,20,7 - Local,SE,1st District,SON,1988/12/31,1988/12/31,
433,CASTLE RD,55044,1040,55044 - 1040,NORTH CASTLE RD,END,10.4,10.54,A,2,739,17,12563,15,2015/05/28,11,7 - Local,SE,1st District,SON,1978/01/01,1978/01/01,
210,BENNETT RIDGE RD,66081B,2000,66081B - 2000,END,PM 20.38,20,20.38,A,2,2006,22,44132,39,2015/04/26,36,7 - Local,SE,1st District,SON,1969/01/01,1969/01/01,
482,CHERRY AVE,56107,1000,56107 - 1000,ARNOLD DR,COTTONWOOD AVE,10,10.15,A,2,792,33,26136,12,2015/05/29,8,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
1134,HUNTER LN,68078,2000,68078 - 2000,END,HUNTER LN EXT,20,20.57,A,2,3010,16,48160,30,2015/04/26,26,7 - Local,SE,3rd District,COT,1983/01/01,1983/01/01,
121,ARROYO RD,56070,2000,56070 - 2000,HWY 12,VALLEJO AVE,20,20.12,A,2,634,15,9510,14,2015/05/27,10,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
877,GEHRICKE RD,55047,1000,55047 - 1000,LOVALL VALLEY RD,BRAZIL ST,10,10.27,A,2,1426,15,21390,31,2015/04/07,24,5 - Major Collector,SE,1st District,SON,1969/01/01,1969/01/01,
1090,HIGH RD,55050,1000,55050 - 1000,NORRBOM RD,END,10,11.34,A,2,7075,20,141500,43,2015/05/28,40,7 - Local,SE,1st District,SON,1969/01/01,1969/01/01,
99,ARNOLD DR,5603,1049,5603 - 1049,WATMAUGH RD,MISSION DRIVE,10.49,10.92,O,2,2270,42,95340,87,2015/02/23,85,4 - Minor Arterial,SE,1st District,SON,2001/06/04,1986/12/31,
734,ELY RD,5704,1000,5704 - 1000,OLD REDWOOD HWY NO.,ENTER CITY PETALUMA,10,11.2,A,2,6336,26,164736,94,2015/04/15,91,5 - Major Collector,SE,2nd District,COT,1983/11/15,1983/11/15,
3,ABERDEEN ST,67020,1000,67020 - 1000,INVERNESS AVE,END,10,10.04,A,2,211,23,4853,33,2015/04/26,29,7 - Local,SE,1st District,COT,1967/01/01,1967/01/01,
763,FARM RD,45003,1000,45003 - 1000,END,END,10,10.22,A,2,1162,16,18592,16,2015/05/11,12,7 - Local,SE,1st District,SON,1968/01/01,1968/01/01,
223,BERNHARD AVE,66003,1000,66003 - 1000,HWY 12,SUNSET WAY,10,10.11,A,2,581,16,9296,35,2015/05/27,32,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
571,CRESSEY DR,66085,1000,66085 - 1000,END,MARTY ST,10,10.02,A,2,106,36,3816,43,2015/05/29,40,7 - Local,SE,1st District,SON,1967/01/01,1967/01/01,
689,EAST RAILROAD AVE,58033A,1299,58033A - 1299,PETALUMA HILL RD,DAVIS LN,12.99,14.05,A,2,5597,19,106343,32,2015/04/15,25,5 - Major Collector,SE,2nd District,COT,1995/08/15,1978/08/14,
195,BAY ST,56048,1029,56048 - 1029,GROVE ST,VERANO AVE,10.29,10.43,A,2,739,30,22170,4,2015/05/27,0,7 - Local,SE,1st District,SON,1972/01/01,1972/01/01,
510,CLYDE AVE,76004,1000,76004 - 1000,END,LIBBY AVE,10,10.11,A,2,581,28,16268,57,2015/05/20,55,7 - Local,SE,1st District,SON,1979/01/01,1979/01/01,
1164,ISTVAN RD,56229,1000,56229 - 1000,ROBINSON RD,END,10,10.06,A,2,317,36,11412,23,2015/05/22,19,7 - Local,SE,1st District,SON,1988/01/01,1988/01/01,
106,ARNOLD DR,5603,1384,5603 - 1384,CRAIG AVE,BOYES BLVD,13.84,14.26,O,2,2218,40,88720,97,2015/02/23,90,4 - Minor Arterial,SE,1st District,SON,2013/09/03,1992/06/30,
818,FORMSCHLAG LN,57060,1000,57060 - 1000,END,PETALUMA HILL RD,10,10.51,A,2,2693,18,48474,36,2015/04/26,32,7 - Local,SE,2nd District,COT,1986/01/01,1986/01/01,
1071,HERBAZAL ST,56239,1000,56239 - 1000,END,END,10,10.12,A,2,634,32,20288,36,2015/05/28,33,7 - Local,SE,1st District,SON,1996/12/31,1996/12/31,
45,ALLEN RD,55015,1000,55015 - 1000,END,BURNDALE RD,10,10.08,A,2,300,18,5400,39,2015/04/10,36,7 - Local,SE,1st District,SON,1977/01/01,1977/01/01,
806,FLINT CT,56175,1000,56175 - 1000,END,END,10,10.1,A,2,528,32,16896,27,2015/05/28,23,7 - Local,SE,1st District,SON,1975/01/01,1975/01/01,
220,BENNETT VALLEY RD,6604,1930,6604 - 1930,BRIDGE 20C-219 / YULUPA CREEK,WARM SPRINGS RD,19.3,19.88,A,2,3062,21,64302,97,2015/03/27,94,5 - Major Collector,SE,1st District,SON,2014/11/30,1971/04/05,
435,CATON CT,66103,1000,66103 - 1000,END (CUL DE SAC),MAPLEWOOD DRIVE,10,10.05,A,2,264,36,9504,59,2015/05/27,57,7 - Local,SE,1st District,SON,1983/01/01,1983/01/01,
350,BURKE PL,56146,1000,56146 - 1000,CANYON RD,END,10,10.07,A,2,370,22,8140,36,2015/05/11,33,7 - Local,SE,1st District,SON,1963/01/01,1963/01/01,
413,CARNATION CT,56219,1000,56219 - 1000,END,VIA COLUMBARD,10,10.09,A,2,409,32,13088,13,2015/05/28,9,7 - Local,SE,1st District,SON,1987/01/01,1987/01/01,
184,BAXTER AVE,56045,1000,56045 - 1000,BARRETT AVE,RIVERSIDE DR,10,10.13,A,2,643,15,9645,55,2015/05/27,52,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
992,GREGER ST,56097,1014,56097 - 1014,BOYES BLVD,LICHTENBERG AVE,10.14,10.32,A,2,950,26,24700,69,2015/05/22,67,7 - Local,SE,1st District,SON,1967/01/01,1967/01/01,
1114,HOLLAND DR,77029,982,77029 - 982,BENNET VALLEY RD,VERDE VISTA DR,9.82,10.34,O,2,2745,19,52155,81,2015/05/22,79,7 - Local,SE,3rd District,COT,1954/03/20,1954/03/20,
311,BOYES BLVD,56106,1000,56106 - 1000,ARNOLD DR,HWY 12,10,10.94,A,1,5007,38,190266,65,2015/04/07,61,5 - Major Collector,SE,1st District,SON,1966/01/01,1966/01/01,
558,COUNTRY CLUB LN,56250,1000,56250 - 1000,RAILROD AVE,END(GATES),10,10.13,A,2,300,32,9600,73,2015/05/29,71,7 - Local,SE,1st District,SON,1996/12/31,1996/12/31,
483,CHERRY AVE,56107,1015,56107 - 1015,COTTONWOOD AVE,RAILROAD AVE,10.15,10.35,A,2,1056,23,24288,37,2015/05/29,34,7 - Local,SE,1st District,SON,1969/01/01,1969/01/01,
1139,HYDE BURNDALE RD,55017,1000,55017 - 1000,HYDE RD,BURNDALE RD,10,10.4,A,2,2112,12,25344,27,2015/05/18,23,7 - Local,SE,1st District,SON,1970/01/01,1970/01/01,
146,AVENIDA SEBASTIANI,56228,1000,56228 - 1000,VIA COLOMBARD,ARNOLD DR,10,10.36,A,2,1901,32,60832,37,2015/05/28,34,7 - Local,SE,1st District,SON,1981/01/01,1981/01/01,
999,GROVE ST,56023,1095,56023 - 1095,PM 10.95,CANYON RD,10.95,11.2,O,2,1320,23,30360,33,2015/05/11,30,7 - Local,SE,1st District,SON,1975/01/01,1975/01/01,
1008,GUENZA RD,67004,1000,67004 - 1000,END,GRANGE RD,10,10.5,A,2,2640,16,42240,32,2015/05/11,28,7 - Local,SE,1st District,COT,1969/01/01,1969/01/01,
8,ADINE CT,66076,1000,66076 - 1000,SYLVIA DR,END,10,10.15,A,2,792,22,17424,20,2015/04/17,16,7 - Local,SE,1st District,SON,1961/01/01,1961/01/01,
786,FIFTH ST EAST,5505,1071,5505 - 1071,NAPA RD,ENTER CITY LIMIT,10.71,10.8,A,2,2376,25,59400,60,2015/04/07,56,5 - Major Collector,SE,1st District,SON,1986/01/01,1986/01/01,
393,CANNON LN,46003,1000,46003 - 1000,LAKEVILLE RD,END,10,11.16,A,2,6125,21,128625,32,2015/06/10,29,7 - Local,SE,2nd District,COT,1971/01/01,1971/01/01,
300,BONNEAU RD,56001,1000,56001 - 1000,END,BONNEAU RD,10,10.17,A,2,898,12,10776,35,2015/05/11,32,7 - Local,SE,1st District,SON,1981/01/01,1981/01/01,
440,CAVEDALE RD,66032,1318,66032 - 1318,PM 13.18,PM 13.95,13.18,13.95,A,2,4066,11,44726,32,2015/03/30,28,7 - Local,SE,1st District,SON,1969/01/01,1969/01/01,
165,BALSAM ST,67012,1000,67012 - 1000,BIRCH DR,PONDEROSA DR,10,10.12,A,2,634,23,14582,34,2015/04/26,30,7 - Local,SE,1st District,SON,1961/01/01,1961/01/01,
929,GILLMAN DR,56209,1000,56209 - 1000,PARK TREE LN,CRAIG AVE,10,10.22,A,2,1162,35,40670,64,2015/05/29,62,7 - Local,SE,1st District,SON,1979/01/01,1979/01/01,
1039,HARDIN LN,57038,1143,57038 - 1143,CATTLE GUARD (PM 11.43),LYNCH RD,11.43,12.18,A,2,3960,17,67320,7,2015/03/30,2,7 - Local,SE,2nd District,COT,1971/01/01,1971/01/01,
77,ANZA DR,56154,0998,56154 - 0998,SAN JACINTO DR,RIVERSIDE DR,9.98,10.1,A,2,634,32,20288,24,2015/05/27,32,7 - Local,SE,1st District,SON,1974/01/01,1974/01/01,
773,FERN AVE,58045,1000,58045 - 1000,OLD REDWOOD HWY,WILLOW AVE,10,10.41,A,2,2165,16,34640,50,2015/04/26,47,7 - Local,SE,2nd District,COT,1983/01/01,1983/01/01,
295,BOKMAN PLACE,56246,1000,56246 - 1000,PINE AVE,END (CUL DE SAC),10,10.2,A,2,1056,36,38016,79,2015/05/27,77,7 - Local,SE,1st District,SON,1988/01/01,1988/01/01,
607,DAVID ST,55030,1000,55030 - 1000,END,LEVERONI RD,10,10.09,A,2,475,18,8550,3,2015/05/28,0,7 - Local,SE,1st District,SON,1980/01/01,1980/01/01,
145,AVENDIA BARBERA,56224,1030,56224 - 1030,AVENIDA SEBASTIANI,END,10.3,10.45,A,2,792,32,25344,38,2015/05/28,35,7 - Local,SE,1st District,SON,1982/01/01,1982/01/01,
736,ENCINAS LANE,56256,1000,56256 - 1000,END,HWY 12,10,10.06,A,2,317,32,10144,32,2015/05/29,29,7 - Local,SE,1st District,SON,1997/01/01,1997/01/01,
1083,HICKORY ST,56050,2000,56050 - 2000,LAUREL AVE,ARBOR AVE,20,20.14,A,2,739,21,15519,36,2015/05/22,33,7 - Local,SE,1st District,SON,1982/01/01,1982/01/01,
5,ACACIA AVE,55002,1000,55002 - 1000,BURNDALE RD,RAMAL RD,10,10.51,A,2,2721,15,40815,12,2015/04/26,7,7 - Local,SE,1st District,SON,1985/01/01,1985/01/01,
576,CROCUS DR,56221,1000,56221 - 1000,VIA COLUMBARD,VIA COLUMBARD,10,10.21,A,2,1109,36,39924,30,2015/05/28,26,7 - Local,SE,1st District,SON,1988/01/01,1988/01/01,
625,DENMAN RD,57041,1020,57041 - 1020,ORCHARD LN,END NEW CHIP SEAL,10.2,10.4,A,2,1056,21,22176,28,2015/04/26,24,7 - Local,SE,2nd District,COT,1988/12/31,1988/12/31,
629,DEPOT RD,66022,1000,66022 - 1000,END,HWY 12,10,10.05,A,2,264,32,8448,19,2015/05/29,15,7 - Local,SE,1st District,SON,1997/01/01,1997/01/01,
181,BARRETT AVE,56114,2000,56114 - 2000,CHERRY AVE,BOYES BLVD,20,20.2,A,2,1056,16,16896,2,2015/05/27,0,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
